codigo_produto;descricao;um;qtde_cx;codigo_barras;tipo;descricao_tecnica;estoque;preco;preco_promocional
10.076;LIXADEIRA ORBITAL 220V M9200B MAKITA;PC;;088381696425;FERRAMENTAS;"Lixadeira Orbital 220 Volts - M9200B - MAKITA

Descrição:
A Lixadeira orbital 180 watts 112 x 102 mm M9200B da Makita é ideal para uso profissional no trabalho de lixamento e desbaste de madeira.  A M9200B possui um design ergonômico, corpo compacto e presilhas de fixação. Sua potência é de 180 watts. Sua base mede 112 x 102mm, comporta folhas de lixa de 110 x 140 mm.

Características do Produto:
- Alimentação da lixadeira:Elétrica
- Comprimento da base (mm):112
- Comprimento da lixa (mm):114
- Fixação da lixa:Presilhas
- Largura da base (mm):102
- Largura da lixa (mm):140
- Oscilação da lixadeira (opm):14000
- Oscilação máxima da lixadeira (opm):14000
- Potência (W):180
- Tipo da lixadeira:Orbital
- Uso Indicado:Madeira

Medidas:
- Peso:0.89 kg
- Profundidade:11.00 cm
- Altura:13.30 cm
- Largura:11.20 cm

Garantia:
- Garantia (Fornecedor):12 meses

* Imagens meramente ilustrativas.";2;463,9;404,99
10.089;FURADEIRA DE ALTA ROTACAO 10MM 220V M0600B MAKITA;PC;;088381697798;FERRAMENTAS;"Furadeira de Alta Rotação 10mm 220 Volts - M0600B-220V - MAKITA

Descrição:
Furadeira de Alta Rotação 10mm 220 Volts - M0600B-220V - MAKITA

Características:
- Ideal para trabalhos profissionais;
- Dupla isolação;
- Velocidade variável;
- Rotação reversível.

Aplicações:
- Alumínio;
- Madeira;
- Metal;
- Plástico.

Especificações Técnicas:
- Potência: 350 W;
- Tensão (V): 110V ou 220V;
- Rotações: 0 - 3.000 rpm;
- Capacidade madeira: 25 mm;
- Capacidade metal: 10 mm;
- Codigo EAN: 110V - 088381731751 / 220V - 088381697798;
- Modelo: M0600B;
- Marca: MAKITA.

Medidas:
- Dimensões: (CxLxA) 230 x 88 x 176 mm;
- Peso: 1,2 kg;

Itens Inclusos:
- Chave do mandril.

* Imagens meramente ilustrativas.";1;419,9;0
100.790;MANTA TERMICA SUBCOBERTURA LITFOIL 2 FACE 50M2;PC;1;7898649615616;MATERIAIS PARA CONSTRUÇÃO;"Manta Termica Litfoil 2 Face 50m2 - 628500024 - BRASILIT :  A manta impermeável LitFoil é uma subcobertura térmica que pode ser utilizada sob telhas de fibrocimento, barro e outras e serve para isolar a temperatura, mantendo a temperatura interna da construção sempre agradável. Além disso, ela reduz a passagem de calor e protege o interior da casa contra infiltrações. Veja como aplicar o produto Subcobertura LitFoil: Método sem ripamento: 1) Os arames galvanizados devem ser fixados no telhado, respeitando um espaçamento máximo de 1,0 m entre eles. 2) A instalação deve começar no beiral do telhado. Estenda o rolo da subcobertura LitFoil horizontalmente sobre os arames e faça a fixação nas extremidades com pregos (estrutura de madeira) ou parafusos (estrutura de aço). 3) A instalação deve ser feita respeitando a sequência (do beiral para cima). Para cada faixa de produto, respeite a sobreposição de 10 cm. Na sobreposição, recomenda-se a utilização da Fita Autoadesiva Metalizada FoilTape para perfeita vedação e segurança contra infiltrações. 4) A instalação da contraterça é fundamental para prolongar a vida útil do produto. Deve haver um espaçamento de, no mínimo, 5 cm entre as telhas onduladas ou estruturais e a manta LitFoil. Método com ripamento: 1)Para esse método, adota-se um telhado padrão composto por tesouras, terças e caibros. 2) A instalação deve começar no beiral do telhado, respeitando o sentida de instalação de baixo pra cima. É necessário estender o rolo da manta horizontalmente, fazendo a fixação previamente com pregos (caso a estrutura seja de madeira) ou parafusos (para estrutura de aço). 3) A instalação deve ser feita respeitando a sequência (do beiral para cima). Para cada faixa de produto, respeite a sobreposição de 10 cm. Na sobreposição, recomenda-se a utilização da Fita Autoadesiva Metalizada FoilTape para perfeita vedação e segurança contra infiltrações. 4) Para fixação definitiva, aplique ripas (contracaibros) sobre a manta LitFoil pregando-as no mesmo sentido dos caibros. É importante que a manta esteja esticada, evitando formar bolsões de água caso aconteça infiltrações no telhado. Essa é uma etapa muito importante porque é necessária uma distância mínima obrigatória de 5 cm entre a telha e a manta para o ripamento que será instalado logo depois. 5) Após a instalação dos contracaibros, aplique o ripamento respeitando o tamanho da telha. 6) Por último, instale as telhas. Recomendações adicionais: - O produto deve ser armazenado em local seco, ventilado e coberto. - Não deixe a manta entrar em contato direto com produtos químicos (se houver aplicação no telhado, espere a secagem total antes da instalação da manta) - No transporte, proteja o produto da chuva 
- Durante a instalação, proteja o produto de materiais abrasivos como areia, cimento, pedras, entre outros. Dimensão do rolo: 50 m2 (1,20 x 41,70 m)  
- Alumínio, Polietileno e Reforço.  
- Garantia de 5 anos. Dicas de Segurança: 
- Sempre utilize ferramentas adequadas. - Use máscaras toda vez que cortar ou furar produtos com ferramentas elétricas que produzem pó fino .*Imagens meramente ilustrativa.";19;359,9;0
10.082;FURADEIRA IMPACTO 550W 5/8 MANDRIL 13MM 1/2 127V;PC;;088381729130;FERRAMENTAS;"Furadeira de Impacto de 13mm 1/2"" 500 Watts - M0801B - MAKITA

Informações Gerais:
- Perfuração em concreto de até 16mm.
- Dupla isolação.
- Velocidade variável.
- Rotação reversível.

Características Técnicas:
- Potência: 500W
- Impactos por minuto: 0 - 43.500
- Rotações por minuto: 0 - 2.900

Capacidades:
- Concreto: 16mm
- Metal: 13mm
- Madeira: 20mm

Medidas:
- Comprimento: 262 mm
- Largura: 70 mm
- Altura: 196 mm
- Peso: 1,7kg

Itens que acompanham:
1 Chave do mandril e 1 punho lateral.

* Imagens meramente ilustrativas.";11;360,99;0
10.083;FURADEIRA IMPACTO 550W 5/8 MANDRIL 13MM 1/2 220V;PC;;088381697897;FERRAMENTAS;"Furadeira de Impacto de 13mm 1/2"" 500 Watts - M0801B - MAKITA

Informações Gerais:
- Perfuração em concreto de até 16mm.
- Dupla isolação.
- Velocidade variável.
- Rotação reversível.

Características Técnicas:
- Potência: 500W
- Impactos por minuto: 0 - 43.500
- Rotações por minuto: 0 - 2.900

Capacidades:
- Concreto: 16mm
- Metal: 13mm
- Madeira: 20mm

Medidas:
- Comprimento: 262 mm
- Largura: 70 mm
- Altura: 196 mm
- Peso: 1,7kg

Itens que acompanham:
1 Chave do mandril e 1 punho lateral.

* Imagens meramente ilustrativas.";18;408,9;0
10.086;ESMERILHADEIRA ANGULAR 125MM 5POL.127V MAKITA;PC;;088381734455;FERRAMENTAS;"Esmerilhadeira Angular 125mm 5"" 720 Watts 127 Volts - M9508B - Makita

Descrição:
- Design mais compacto e motor de alta potência para aplicações mais exigentes.

Especificações:
- Potência: 720 W
- Voltagem: 127 V
- Rotações 11.000 rpm
- Diâmetro do disco: 125 mm (5"")
- Dimensões (CxLxA): 261 x 140 x 111 mm
- Peso 1,9 kg

Aplicações:
- Metal

Segmentos:
- Metal mecânica

Itens inclusos:
- Esmerilhadeira Angular 125mm 5""
- Punho Lateral
- Protetor
- Chave de Pino

* Imagens meramente ilustrativas";9;380,99;0
10.087;ESMERILHADEIRA ANGULAR 125MM 5POL.220V MAKITA;PC;;088381830706;FERRAMENTAS;"Esmerilhadeira Angular 125mm 5"" 720 Watts 220 Volts - M9508B - Makita

Descrição:
- Design mais compacto e motor de alta potência para aplicações mais exigentes.

Especificações:
- Potência: 720 W
- Voltagem: 220 V
- Rotações 11.000 rpm
- Diâmetro do disco: 125 mm (5"")
- Dimensões (CxLxA): 261 x 140 x 111 mm
- Peso 1,9 kg

Aplicações:
- Metal

Segmentos:
- Metal mecânica

Itens inclusos:
- Esmerilhadeira Angular 125mm 5""
- Punho Lateral
- Protetor
- Chave de Pino

* Imagens meramente ilustrativas";17;380,99;0
10.088;FURADEIRA DE ALTA ROTACAO 10MM 127V M0600B MAKITA;PC;;088381731751;FERRAMENTAS;"Furadeira de Alta Rotação 10mm 110 Volts - M0600B-127V - MAKITA

Descrição:
Furadeira de Alta Rotação 10mm 110 Volts - M0600B-127V - MAKITA

Características:
- Ideal para trabalhos profissionais;
- Dupla isolação;
- Velocidade variável;
- Rotação reversível.

Aplicações:
- Alumínio;
- Madeira;
- Metal;
- Plástico.

Especificações Técnicas:
- Potência: 350 W;
- Tensão (V): 110V ou 220V;
- Rotações: 0 - 3.000 rpm;
- Capacidade madeira: 25 mm;
- Capacidade metal: 10 mm;
- Peso: 1,2 kg;
- Codigo EAN: 110V - 088381731751 / 220V - 088381697798;
- Modelo: M0600B;
- Marca: MAKITA.

Medidas:
- Dimensões: (CxLxA) 230 x 88 x 176mm;

Itens Inclusos:
- Chave do mandril.

Garantia:
- Garantia (Fornecedor): 12 meses

* Imagens meramente ilustrativas.";5;419,9;0
105.961;SOQUETE E-27 C/BORNE 1 FURO CENTRAL LUME 9113IFI;PC;;9999910596103;FERRAMENTAS;"Soquete E-27 Com Borne de 1 Furo Central - 9113 IF1 
- LUMENORTE 
- Material: Porcelana - Base: E 27 - REf: 9113 IF1 
- Marca: Lumi Norte 
- Soquete com 1 Furo Central - 50W / 75W / 100W 
* Imagens Meramente ilustrativas";102;3,25;0
378.909;BROCA SDS-PLUS STANDER 8MMX110MMX40MM DW00705;PC;1;028877512594;FERRAMENTAS;"Broca sds-plus stander 8mmx50mmx110mm 
- DW00705 - BLACK";9;13,99;0
